word,phonetic,definition,example
abandon,动态发音,v. 抛弃，遗弃；（因危险）离开，舍弃；中止，不再有；放弃（信念、信仰或看法）；陷入，沉湎于（某种情...,The scholarly paper illustrates the significant impact of abandon in the empirical study.
abolish,动态发音,v. 废除，废止，取消,The scholarly paper illustrates the significant impact of abolish in the empirical study.
abrupt,动态发音,adj. 突然的，意外的；粗鲁的，唐突的，（言语）生硬的；险峻的，陡峭的；（讲话或写作风格）不流畅的...,The scholarly paper illustrates the significant impact of abrupt in the empirical study.
abstract,动态发音,adj. 抽象的，纯概念的；（艺术）抽象派的；理论上的，不切实际的; n. 摘要，梗概；抽象画，抽象...,The scholarly paper illustrates the significant impact of abstract in the empirical study.
absurd,动态发音,adj. 愚蠢的，荒谬的；滑稽可笑的；荒诞派的; n. 荒诞，荒诞的事物 （the absurd）,The scholarly paper illustrates the significant impact of absurd in the empirical study.
abundant,动态发音,adj. 大量的，丰富的，充足的,The scholarly paper illustrates the significant impact of abundant in the empirical study.
accelerate,动态发音,v. （使）加快，促进；（车辆或驾驶者）加速,The scholarly paper illustrates the significant impact of accelerate in the empirical study.
accumulate,动态发音,v. 积累，积攒,The scholarly paper illustrates the significant impact of accumulate in the empirical study.
accurate,动态发音,adj. 准确的，精确的；（工具，方法）精密的；正确无误的；（武器、投掷）精准的,The scholarly paper illustrates the significant impact of accurate in the empirical study.
accuse,动态发音,v. 控告，指控；指责，谴责，归咎于,The scholarly paper illustrates the significant impact of accuse in the empirical study.
achieve,动态发音,v. （经努力）达到，取得，实现；获得成功,The scholarly paper illustrates the significant impact of achieve in the empirical study.
acknowledge,动态发音,v. 承认；认可； 跟……打招呼，理会；告知收到；（公开）感谢,The scholarly paper illustrates the significant impact of acknowledge in the empirical study.
acquire,动态发音,v. 获得，得到；学到，习得；患上（疾病）；逐渐具有，开始学会,The scholarly paper illustrates the significant impact of acquire in the empirical study.
adapt,动态发音,v. 适应；调整，使适合；改编；改造，改装,The scholarly paper illustrates the significant impact of adapt in the empirical study.
advocate,动态发音,v. 拥护，提倡; n. 拥护者，提倡者；辩护律师；（为某一类人）谋利益者；（一项事业或个组织的）工...,The scholarly paper illustrates the significant impact of advocate in the empirical study.
affect,动态发音,v. 影响；（疾病）侵袭，感染；（在感情上）深深打动，震撼；<正式> 假装，佯装; n. （尤指影响...,The scholarly paper illustrates the significant impact of affect in the empirical study.
alter,动态发音,v. 改变，改动；（使）变化；改（服装）；改建（某建筑）；<美>阉割; 【名】 （Alter）（美、...,The scholarly paper illustrates the significant impact of alter in the empirical study.
ambiguity,动态发音,n. 模棱两可，不明确；含混不清的语句；一语多义；暧昧，难以理解的感情（或想法）,The scholarly paper illustrates the significant impact of ambiguity in the empirical study.
anticipate,动态发音,v. 预期，预料；预见（并做准备）；期望，盼望；先于……做，早于……行动；提前使用；在期限内履行（义...,The scholarly paper illustrates the significant impact of anticipate in the empirical study.
apparent,动态发音,adj. 显而易见的，易懂的；貌似的，表面上的,The scholarly paper illustrates the significant impact of apparent in the empirical study.
approach,动态发音,v. 靠近，临近；接洽，交谈；对付，处理；近似，接近于; n. 方法，态度；靠近，接近；接洽，要求；...,The scholarly paper illustrates the significant impact of approach in the empirical study.
artificial,动态发音,adj. 人造的，人工的；人为的；不真挚的，矫揉造作的,The scholarly paper illustrates the significant impact of artificial in the empirical study.
assess,动态发音,v. 评价，评定；估价，估计；征税，处以罚金,The scholarly paper illustrates the significant impact of assess in the empirical study.
