abandon,v.放弃
ability,n.能力;才能
able,adj.能够;有能力的
abnormal,adj.反常的，异常的
abolish,v.废除，取消
abound,v.大量存在;充满
about,adv.大约;四处;到处
above,prep.在…上面
abroad,adv.到国外;在国外
abrupt,adj.突然的，意外的
absence,n.缺席，不存在
absolute,adj.绝对的，完全的
absolutely,adv.完全地，绝对地
absorb,v.吸收;使全神贯注
abstract,adj.抽象的,n.摘要
absurd,adj.荒谬的，荒唐的
abundance,n.大量，丰富，充足
abundant,adj.大量的，丰富的
abuse,v./n.滥用;虐待
academic,adj.学院的;学术的
academy,n.学院，研究院
accelerate,v.加速，促进
accent,n.口音，音调
accept,v.接受，认可
acceptable,adj.可接受的
acceptance,n.接受，承认
access,n.接近;通道;入口
accessible,adj.易接近的，可进入的
accessory,n.附件，配件
accident,n.事故，意外
accommodate,v.容纳;提供住宿
accommodation,n.住处，膳宿
accompany,v.陪伴，伴随
accomplish,v.完成，实现
accomplishment,n.成就，成绩
accord,v.使一致;给予,n.一致;协议
accordance,n.一致，和谐
accordingly,adv.因此，所以
account,n.账目;叙述
accountant,n.会计
accumulate,v.积累，积聚
accuracy,n.精确，准确性
accurate,adj.精确的，准确的
accuse,v.指控，指责
accustomed,adj.习惯的，惯常的
ache,v./n.疼痛
achieve,v.达到，实现
achievement,n.成就，成绩
acid,n.酸
acknowledge,v.承认;告知收到
acquaint,v.使熟悉
acquaintance,n.认识，了解
acquire,v.获得，取得
acquisition,n.获得，取得
acre,n.英亩
across,prep.横过，穿过
act,v.行动;扮演,n.法令，条例
action,n.行动，动作
active,adj.积极的，主动的
activity,n.活动
actor,n.男演员
actress,n.女演员
actual,adj.实际的，现实的
actually,adv.实际上，事实上
acute,adj.敏锐的，剧烈的
adapt,v.使适应;改编
adaptation,n.适应，改编
add,v.加，增加
addition,n.加，加法
additional,adj.附加的，另外的
address,n.地址;演说
adequate,adj.足够的，适当的
adjust,v.调整，调节
adjustment,n.调整，调节
administer,v.管理，治理
administration,n.管理，行政
admirable,adj.令人钦佩的
admire,v.钦佩，羡慕
admission,n.准入，接纳
admit,v.承认，准许
adolescent,n.青少年,adj.青春期的
adopt,v.采用，采纳
adoption,n.采用，采纳
adult,n.成年人,adj.成年的
advance,v./n.前进;提高
advanced,adj.高级的;先进的
advantage,n.优点，优势
adventure,n.冒险;奇遇
adverb,n.副词
advertisement,n.广告
advice,n.建议，忠告
advisable,adj.明智的，可取的
advise,v.建议，劝告
aeroplane,n.飞机
affair,n.事情，事件;事务
affect,v.影响;感动
affection,n.喜爱，感情
afford,v.负担得起
afraid,adj.害怕的;担心的
after,prep.在...之后,adv.之后
afternoon,n.下午
afterward,adv.之后，后来
again,adv.再次，又
against,prep.反对;靠着
age,n.年龄;时代
agency,n.代理机构;代理处
agent,n.代理人;经纪人
ago,adv.以前
agree,v.同意;一致
agreement,n.同意;协定
agriculture,n.农业;农艺
ahead,adv.在前面
aid,n.帮助;援助,v.帮助
aim,n.目的;目标,v.瞄准
