reciprocal,adj.相互的;互惠的
reciprocate,v.回报;相互作用
reciprocity,n.互惠;相互性
recital,n.独奏;朗诵
recitation,n.朗诵;背诵
recite,v.背诵;叙述
reckless,adj.粗心的;鲁莽的
reckon,v.计算;认为
reclaim,v.开垦;回收
reclamation,n.开垦;回收
recline,v.使后仰;倚靠
recluse,n.隐士;遁世者
recognition,n.认出;识别
recognize,v.认出;认可
recoil,v.退缩;弹回
recollect,v.回忆;记起
recollection,n.回忆;记忆
recommend,v.推荐;建议
recommendation,n.推荐;建议
recompense,n.报酬;赔偿金
reconcile,v.和解;使一致
reconciliation,n.和解;调和
recondite,adj.深奥的;难懂的
recondition,v.重新调整;再训练
reconnaissance,n.侦察;预先探索
reconsider,v.重新考虑
reconstruct,v.重建;重构
reconstruction,n.重建;复兴
record,n.记录,v.记录
recorder,n.记录员;录音机
recourse,n.求助;依赖
recover,v.恢复;痊愈
recovery,n.恢复;痊愈
recreate,v.再创造;娱乐
recreation,n.娱乐;消遣
recreational,adj.娱乐的;消遣的
recruit,n.新兵;新成员,v.招募
rectangular,adj.矩形的;长方形的
rectify,v.纠正;整流
rectilinear,adj.直线的;直角的
rectitude,n.正直;正当
rectory,n.教区牧师的住宅
recumbent,adj.躺着的;倚靠的
recuperate,v.恢复;复原
recur,v.再发生;重现
recurrence,n.重现;再发生
recycling,n.回收利用;再利用
red,n./adj.红色（的）
redound,v.产生有利的结果
redress,v./n.改正;赔偿
reduce,v.减少;降低
reduction,n.减少;降低
redundant,adj.多余的;失业的
reed,n.芦苇;簧片
reeds,n.芦苇丛;苇丛
reek,n.小湾;气味,v.发出气味
reel,n.卷轴,v.卷;蹒跚
referee,n.裁判员;仲裁人
reference,n.参考;提及
referendum,n.公民投票;公投
refine,v.精炼;提纯
refined,adj.精炼的;有教养的
refinement,n.精炼;文雅
reflect,v.反映;思考
reflection,n.反射;思考
reflective,adj.反射的;深思的
reflex,n.反射;反映
reflexes,n.反射;本能反应
reflexive,adj.反射的;反身的
reform,v./n.改革;重组
refrain,v.抑制,n.重复句
refresh,v.刷新;使恢复
refreshing,adj.提神的;使人精神焕发的
refreshment,n.刷新;点心
refrigerator,n.冰箱;冷藏库
refuge,n.避难所;庇护
refugee,n.难民;流亡者
refund,n.退款,v.退还
refurbish,v.刷新;再磨光
refusal,n.拒绝;拒绝权
refuse,v.拒绝;不接受
refutation,n.反驳;驳斥
refute,v.反驳;驳斥
regain,v.恢复;重新获得
regal,adj.帝王的;庄严的
regard,v.看待;尊重
regarding,prep.关于
regardless,adv.不顾;不顾一切
regenerate,v.再生;更新
regime,n.政权;制度
regiment,n.团;大量
region,n.地区;范围
register,n.登记,v.登记
registrar,n.注册员;登记员
registration,n.注册;登记
